ae-oe,æ-œ
oeuvrez,œuvrez
oeuvriez,œuvriez
oeuvrions,œuvrions
oeuvrons,œuvrons
périoesophagien,périœsophagien
périoesophagienne,périœsophagienne
périoesophagiennes,périœsophagiennes
périoesophagiens,périœsophagiens
personae,personæ
pet-de-soeur,pet-de-sœur
pets-de-soeur,pets-de-sœur
phoeniciculture,phœniciculture
phoenicicultures,phœnicicultures
phoenix,phœnix
phyto-oestrogène,phyto-œstrogène
phyto-oestrogènes,phyto-œstrogènes
phytooestrogène,phytoœstrogène
phytooestrogènes,phytoœstrogènes
pique-boeuf,pique-bœuf
pique-boeufs,pique-bœufs
poecilandrie,pœcilandrie
poecilandries,pœcilandries
poecile,pœcile
poeciles,pœciles
poecilitique,pœcilitique
poecilitiques,pœcilitiques
poecilogynie,pœcilogynie
poecilogynies,pœcilogynies
poecilotherme,pœcilotherme
poecilotherme,pœcilotherme
poecilothermes,pœcilothermes
poecilothermes,pœcilothermes
poecilothermie,pœcilothermie
poecilothermies,pœcilothermies
pomoerium,pomœrium
pomoeriums,pomœriums
praesidium,præsidium
praesidiums,præsidiums
préoedipien,préœdipien
préoedipienne,préœdipienne
préoedipiennes,préœdipiennes
préoedipiens,préœdipiens
quadricoeur,quadricœur
quadricoeur,quadricœur
quadricoeurs,quadricœurs
quadricoeurs,quadricœurs
rai-de-coeur,rai-de-cœur
rais-de-coeur,rais-de-cœur
rancoeur,rancœur
rancoeurs,rancœurs
sacré-coeur,sacré-cœur
sacré-coeurs,sacré-cœurs
sans-coeur,sans-cœur
sans-coeur,sans-cœur
sans-coeurs,sans-cœurs
sans-coeurs,sans-cœurs
soeur,sœur
soeurette,sœurette
soeurettes,sœurettes
soeurs,sœurs
sous-oeuvre,sous-œuvre
sous-oeuvres,sous-œuvres
stoechiométrie,stœchiométrie
stoechiométries,stœchiométries
stoechiométrique,stœchiométrique
stoechiométriques,stœchiométriques
supernovae,supernovæ
synoecisme,synœcisme
synoecismes,synœcismes
taenia,tænia
taenias,tænias
tape-à-l’oeil,tape-à-l’œil
tire-l’oeil,tire-l’œil
trompe-l’oeil,trompe-l’œil
uraeus,uræus
vitae,vitæ
voeu,vœu
voeux,vœux
