fr-reforme1990_only,fr-classique_only
azuléjo,azulejo
azuléjos,azulejos
babyblues,baby-blues
babyboum,baby-boum
babyboums,baby-boums
babyfoot,baby-foot
babysitting,baby-sitting
babysittings,baby-sittings
bachibouzouk,bachi-bouzouk
bachibouzouks,bachi-bouzouks
backoffice,back-office
backoffices,back-offices
balltrap,ball-trap
balltraps,ball-traps
bandérilléro,banderillero
bandérilléros,banderilleros
barètera,barétera
barèterai,baréterai
barèteraient,baréteraient
barèterais,baréterais
barèterait,baréterait
barèteras,baréteras
barèterez,baréterez
barèteriez,baréteriez
barèterions,baréterions
barèterons,baréterons
barèteront,baréteront
barrièrera,barriérera
barrièrerai,barriérerai
barrièreraient,barriéreraient
barrièrerais,barriérerais
barrièrerait,barriérerait
barrièreras,barriéreras
barrièrerez,barriérerez
barrièreriez,barriéreriez
barrièrerions,barriérerions
barrièrerons,barriérerons
barrièreront,barriéreront
basfond,bas-fond
basfonds,bas-fonds
bassecontre,basse-contre
bassecour,basse-cour
bassecourier,basse-courier
bassecourière,basse-courière
bassecourières,basse-courières
bassecouriers,basse-couriers
bassedanse,basse-danse
bassefosse,basse-fosse
basselisse,basse-lisse
basselissier,basse-lissier
basselissière,basse-lissière
basselissières,basse-lissières
basselissiers,basse-lissiers
bassetaille,basse-taille
basseville,basse-ville
battledress,battle-dress
beachvolley,beach-volley
beachvolleys,beach-volleys
bebop,be-bop
bèguera,béguera
bèguerai,béguerai
bègueraient,bégueraient
bèguerais,béguerais
bèguerait,béguerait
bègueras,bégueras
bèguerez,béguerez
bègueriez,bégueriez
bèguerions,béguerions
bèguerons,béguerons
bègueront,bégueront
bégües,béguës
béhaviourisme,behaviourisme
béhaviourismes,behaviourismes
béhaviouriste,behaviouriste
béhaviouristes,behaviouristes
benoit,benoît
benoite,benoîte
benoitement,benoîtement
benoites,benoîtes
benoits,benoîts
bèquera,béquera
bèquerai,béquerai
bèqueraient,béqueraient
bèquerais,béquerais
bèquerait,béquerait
bèqueras,béqueras
bèquerez,béquerez
bèqueriez,béqueriez
bèquerions,béquerions
bèquerons,béquerons
bèqueront,béqueront
bèqueta,béqueta
bèquetai,béquetai
bèquetaient,béquetaient
bèquetais,béquetais
bèquetait,béquetait
bèquetâmes,béquetâmes
bèquetant,béquetant
bèquetas,béquetas
bèquetasse,béquetasse
bèquetassent,béquetassent
bèquetasses,béquetasses
bèquetassiez,béquetassiez
bèquetassions,béquetassions
bèquetât,béquetât
bèquetâtes,béquetâtes
bèquetée,béquetée
bèquetées,béquetées
bèqueter,béqueter
bèquetèrent,béquetèrent
bèquetez,béquetez
bèquetiez,béquetiez
bèquetions,béquetions
bèquetons,béquetons
besaigüe,besaiguë
besaigües,besaiguës
bestseller,best-seller
bestsellers,best-sellers
bêtatest,bêta-test
bêtatesteur,bêta-testeur
bêtatesteurs,bêta-testeurs
bêtatesteuse,bêta-testeuse
bêtatesteuses,bêta-testeuses
bêtatests,bêta-tests
biactif,bi-actif
biactifs,bi-actifs
biactive,bi-active
biactives,bi-actives
bienaimé,bien-aimé
bienaimée,bien-aimée
bienaimées,bien-aimées
bienaimés,bien-aimés
bienaller,bien-aller
biendire,bien-dire
bienêtre,bien-être
bienfondé,bien-fondé
bienfondés,bien-fondés
bienfonds,bien-fonds
bienjugé,bien-jugé
bienjugés,bien-jugés
bienpensance,bien-pensance
bienpensances,bien-pensances
bienpensant,bien-pensant
bienpensante,bien-pensante
bienpensantes,bien-pensantes
bienpensants,bien-pensants
bienvoulu,bien-voulu
bienvoulue,bien-voulue
bienvoulues,bien-voulues
bienvoulus,bien-voulus
bigbang,big-bang
bihoraire,bi-horaire
bihoraires,bi-horaires
biinfini,bi-infini
biinfinie,bi-infinie
biinfinies,bi-infinies
biinfinis,bi-infinis
biinvariant,bi-invariant
biinvariante,bi-invariante
biinvariantes,bi-invariantes
biinvariants,bi-invariants
biodiésel,biodiesel
biodiésels,biodiesels
biofeedback,bio-feed-back
bisaigüe,bisaiguë
bisaigües,bisaiguës
blackbass,black-bass
blackout,black-out
blackrot,black-rot
blackrots,black-rots
blasphèmera,blasphémera
blasphèmerai,blasphémerai
blasphèmeraient,blasphémeraient
blasphèmerais,blasphémerais
blasphèmerait,blasphémerait
blasphèmeras,blasphémeras
blasphèmerez,blasphémerez
blasphèmeriez,blasphémeriez
blasphèmerions,blasphémerions
blasphèmerons,blasphémerons
blasphèmeront,blasphémeront
blatèrera,blatérera
blatèrerai,blatérerai
blatèreraient,blatéreraient
blatèrerais,blatérerais
blatèrerait,blatérerait
blatèreras,blatéreras
blatèrerez,blatérerez
blatèreriez,blatéreriez
blatèrerions,blatérerions
blatèrerons,blatérerons
blatèreront,blatéreront
blèsera,blésera
blèserai,bléserai
blèseraient,bléseraient
blèserais,bléserais
blèserait,bléserait
blèseras,bléseras
blèserez,bléserez
blèseriez,bléseriez
blèserions,bléserions
blèserons,bléserons
blèseront,bléseront
bluejean,blue-jean
bluejeans,blue-jeans
boitè,boîte
boitier,boîtier
boitiers,boîtiers
bonnèterie,bonneterie
bonnèteries,bonneteries
boogiewoogie,boogie-woogie
boogiewoogies,boogie-woogies
bouiboui,boui-boui
boutéfas,boutefas
bouteselle,boute-selle
bowwindow,bow-window
bowwindows,bow-windows
boxcalf,box-calf
boxcalfs,box-calfs
boxoffice,box-office
boxoffices,box-offices
boyscout,boy-scout
boyscoutisme,boy-scoutisme
boyscoutismes,boy-scoutismes
boyscouts,boy-scouts
braintrust,brain-trust
braintrusts,brain-trusts
branlebas,branle-bas
braséro,brasero
braséros,braseros
bréla,brêla
brélai,brêlai
brélaient,brêlaient
brélais,brêlais
brélait,brêlait
brélâmes,brêlâmes
brélant,brêlant
brélas,brêlas
brélasse,brêlasse
brélassent,brêlassent
brélasses,brêlasses
brélassiez,brêlassiez
brélassions,brêlassions
brélât,brêlât
brélâtes,brêlâtes
brélée,brêlée
brélées,brêlées
brèlent,brêlent
bréler,brêler
brèlera,brêlera
brèlerai,brêlerai
brèleraient,brêleraient
brèlerais,brêlerais
brèlerait,brêlerait
brèleras,brêleras
brélèrent,brêlèrent
brèlerez,brêlerez
brèleriez,brêleriez
brèlerions,brêlerions
brèlerons,brêlerons
brèleront,brêleront
brélés,brêlés
brélez,brêlez
bréliez,brêliez
brélions,brêlions
brélons,brêlons
bringeüre,bringeure
bringeüres,bringeures
briquèterie,briqueterie
briquèteries,briqueteries
brisetout,brise-tout
brula,brûla
brulable,brûlable
brulables,brûlables
brulage,brûlage
brulages,brûlages
brulai,brûlai
brulaient,brûlaient
brulais,brûlais
brulait,brûlait
brulâmes,brûlâmes
brulant,brûlant
brulante,brûlante
brulantes,brûlantes
brulants,brûlants
brulas,brûlas
brulasse,brûlasse
brulassent,brûlassent
brulasses,brûlasses
brulassiez,brûlassiez
brulassions,brûlassions
brulât,brûlât
brulâtes,brûlâtes
brule-bouts,brûle-bouts
brulée,brûlée
brulées,brûlées
brule-gueule,brûle-gueule
brulement,brûlement
brulements,brûlements
brulent,brûlent
brule-parfum,brûle-parfum
brule-parfums,brûle-parfums
brule-pourpoint,brûle-pourpoint
bruler,brûler
brulera,brûlera
brulerai,brûlerai
bruleraient,brûleraient
brulerais,brûlerais
brulerait,brûlerait
bruleras,brûleras
brulèrent,brûlèrent
brulerez,brûlerez
brulerie,brûlerie
bruleries,brûleries
bruleriez,brûleriez
brulerions,brûlerions
brulerons,brûlerons
bruleront,brûleront
bruleur,brûleur
bruleurs,brûleurs
bruleuse,brûleuse
bruleuses,brûleuses
brulez,brûlez
bruliez,brûliez
brulions,brûlions
brulis,brûlis
bruloir,brûloir
bruloirs,brûloirs
brulon,brûlon
brulons,brûlons
brulot,brûlot
brulots,brûlots
brulure,brûlure
brulures,brûlures
buccodentaire,bucco-dentaire
buccodentaires,bucco-dentaires
buccogénital,bucco-génital
buccogénitale,bucco-génitale
buccogénitales,bucco-génitales
buccogénitaux,bucco-génitaux
bucha,bûcha
buchai,bûchai
buchaient,bûchaient
buchais,bûchais
buchait,bûchait
buchâmes,bûchâmes
buchant,bûchant
buchas,bûchas
buchasse,bûchasse
buchassent,bûchassent
buchasses,bûchasses
buchassiez,bûchassiez
buchassions,bûchassions
buchât,bûchât
buchâtes,bûchâtes
buchée,bûchée
buchées,bûchées
buchent,bûchent
bucher,bûcher
buchera,bûchera
bucherai,bûcherai
bucheraient,bûcheraient
bucherais,bûcherais
bucherait,bûcherait
bucheras,bûcheras
buchèrent,bûchèrent
bucherez,bûcherez
bucheriez,bûcheriez
bucherions,bûcherions
bucheron,bûcheron
bucheronna,bûcheronna
bucheronnage,bûcheronnage
bucheronnages,bûcheronnages
bucheronnai,bûcheronnai
bucheronnaient,bûcheronnaient
bucheronnais,bûcheronnais
bucheronnait,bûcheronnait
bucheronnâmes,bûcheronnâmes
bucheronnant,bûcheronnant
bucheronnas,bûcheronnas
bucheronnasse,bûcheronnasse
bucheronnassent,bûcheronnassent
bucheronnasses,bûcheronnasses
bucheronnassiez,bûcheronnassiez
bucheronnassions,bûcheronnassions
bucheronnât,bûcheronnât
bucheronnâtes,bûcheronnâtes
bucheronnent,bûcheronnent
bucheronner,bûcheronner
bucheronnera,bûcheronnera
bucheronnerai,bûcheronnerai
bucheronneraient,bûcheronneraient
bucheronnerais,bûcheronnerais
bucheronnerait,bûcheronnerait
bucheronneras,bûcheronneras
bucheronnèrent,bûcheronnèrent
bucheronnerez,bûcheronnerez
bucheronneriez,bûcheronneriez
bucheronnerions,bûcheronnerions
bucheronnerons,bûcheronnerons
bucheronneront,bûcheronneront
bucheronnes,bûcheronnes
bucheronnez,bûcheronnez
bucheronniez,bûcheronniez
bucheronnions,bûcheronnions
bucheronnons,bûcheronnons
bucherons,bûcherons
bucheront,bûcheront
buchers,bûchers
buchette,bûchette
buchettes,bûchettes
bucheur,bûcheur
bucheurs,bûcheurs
bucheuse,bûcheuse
bucheuses,bûcheuses
buchez,bûchez
buchiez,bûchiez
buchions,bûchions
buchons,bûchons
buddléia,buddleia
buddléias,buddleias
budgètera,budgétera
budgèterai,budgéterai
budgèteraient,budgéteraient
budgèterais,budgéterais
budgèterait,budgéterait
budgèteras,budgéteras
budgèterez,budgéterez
budgèteriez,budgéteriez
budgèterions,budgéterions
budgèterons,budgéterons
budgèteront,budgéteront
bufflèterie,buffleterie
bufflèteries,buffleteries
bullterrier,bull-terrier
bullterriers,bull-terriers
burnout,burn-out
byebye,bye-bye
bypass,by-pass
cabincruiser,cabin-cruiser
cabincruisers,cabin-cruisers
câbloopérateur,câblo-opérateur
câbloopérateurs,câblo-opérateurs
cachecache,cache-cache
cahincaha,cahin-caha
callgirl,call-girl
callgirls,call-girls
camembèrera,camembérera
camembèrerai,camembérerai
camembèreraient,camembéreraient
camembèrerais,camembérerais
camembèrerait,camembérerait
camembèreras,camembéreras
camembèrerez,camembérerez
camembèreriez,camembéreriez
camembèrerions,camembérerions
camembèrerons,camembérerons
camembèreront,camembéreront
candéla,candela
candélas,candelas
canoé,canoë
canoé-kayak,canoë-kayak
canoés,canoës
canoés-kayaks,canoës-kayaks
capverdien,cap-verdien
capverdienne,cap-verdienne
capverdiennes,cap-verdiennes
capverdiens,cap-verdiens
cardiotraining,cardio-training
cardiotrainings,cardio-trainings
carènera,carénera
carènerai,carénerai
carèneraient,caréneraient
carènerais,carénerais
carènerait,carénerait
carèneras,caréneras
carènerez,carénerez
carèneriez,caréneriez
carènerions,carénerions
carènerons,carénerons
carèneront,caréneront
carjacking,car-jacking
carjackings,car-jackings
cashflow,cash-flow
cashflows,cash-flows
casse-crouta,casse-croûta
casse-croutai,casse-croûtai
casse-croutaient,casse-croûtaient
casse-croutais,casse-croûtais
casse-croutait,casse-croûtait
casse-croutâmes,casse-croûtâmes
casse-croutant,casse-croûtant
casse-croutas,casse-croûtas
casse-croutasse,casse-croûtasse
casse-croutassent,casse-croûtassent
casse-croutasses,casse-croûtasses
casse-croutassiez,casse-croûtassiez
